iter	Passed	Remaining
0	140	140714
1	141	70559
2	141	47161
3	142	35461
4	143	28489
5	143	23818
6	144	20470
7	144	17958
8	145	16002
9	145	14435
10	146	13155
11	146	12088
12	147	11185
13	147	10412
14	148	9741
15	148	9154
16	149	8636
17	149	8176
18	150	7763
19	150	7392
20	151	7058
21	151	6752
22	152	6475
23	152	6220
24	153	5985
25	153	5767
26	154	5566
27	155	5380
28	155	5207
29	156	5045
30	156	4894
31	157	4758
32	157	4624
33	158	4498
34	158	4380
35	159	4268
36	159	4161
37	160	4061
38	160	3965
39	161	3874
40	161	3787
41	162	3704
42	162	3625
43	163	3550
44	163	3478
45	164	3410
46	164	3344
47	165	3281
48	165	3221
49	166	3162
50	166	3106
51	167	3052
52	167	3001
53	168	2950
54	168	2902
55	169	2855
56	169	2810
57	170	2767
58	170	2725
59	171	2687
60	172	2649
61	172	2611
62	173	2574
63	173	2539
64	174	2504
65	174	2470
66	175	2438
67	175	2406
68	176	2375
69	176	2346
70	177	2317
71	177	2288
72	178	2261
73	178	2234
74	179	2208
75	179	2183
76	180	2158
77	180	2134
78	181	2111
79	181	2088
80	182	2065
81	182	2044
82	182	2020
83	183	1999
84	183	1979
85	184	1959
86	184	1939
87	185	1920
88	185	1901
89	186	1884
90	186	1867
91	187	1850
92	188	1833
93	188	1817
94	189	1801
95	189	1785
96	190	1769
97	190	1755
98	191	1740
99	191	1725
100	192	1710
101	192	1696
102	193	1682
103	193	1668
104	194	1655
105	194	1641
106	195	1628
107	195	1615
108	196	1603
109	196	1591
110	197	1578
111	197	1567
112	198	1555
113	198	1543
114	199	1532
115	199	1521
116	199	1509
117	200	1498
118	200	1488
119	201	1477
120	202	1467
121	202	1457
122	203	1447
123	203	1437
124	204	1428
125	204	1418
126	204	1408
127	205	1399
128	205	1390
129	206	1381
130	206	1372
131	207	1363
132	207	1355
133	208	1348
134	209	1340
135	209	1332
136	210	1323
137	210	1315
138	211	1307
139	211	1299
140	212	1292
141	212	1283
142	212	1275
143	213	1268
144	213	1260
145	214	1253
146	214	1246
147	215	1239
148	215	1232
149	216	1225
150	216	1219
151	217	1214
152	218	1207
153	218	1200
154	219	1194
155	219	1188
156	220	1181
157	220	1175
158	221	1169
159	221	1163
160	221	1156
161	222	1150
162	222	1144
163	223	1138
164	223	1133
165	224	1127
166	224	1121
167	225	1116
168	225	1110
169	226	1105
170	226	1100
171	227	1094
172	227	1089
173	228	1084
174	228	1079
175	229	1074
176	229	1069
177	230	1064
178	230	1059
179	231	1054
180	231	1049
181	232	1045
182	233	1041
183	233	1036
184	234	1031
185	234	1027
186	235	1022
187	235	1017
188	236	1013
189	236	1008
190	237	1004
191	237	1000
192	238	995
193	238	991
194	239	986
195	239	982
196	240	978
197	240	974
198	241	970
199	241	966
200	242	963
201	242	959
202	243	955
203	243	951
204	244	947
205	244	943
206	245	939
207	245	935
208	246	932
209	246	928
210	247	924
211	248	922
212	248	918
213	249	915
214	249	911
215	250	908
216	250	904
217	251	900
218	251	897
219	252	894
220	252	890
221	253	887
222	253	884
223	254	881
224	267	921
225	268	917
226	268	914
227	269	910
228	269	907
229	270	904
230	270	901
231	271	897
232	271	894
233	272	891
234	272	888
235	273	884
236	273	881
237	274	878
238	274	874
239	275	871
240	275	868
241	276	865
242	276	861
243	277	858
244	277	855
245	278	852
246	278	849
247	279	847
248	280	844
249	280	842
250	281	839
251	281	836
252	282	833
253	282	830
254	283	827
255	283	824
256	284	821
257	284	818
258	285	815
259	285	813
260	286	810
261	286	807
262	287	806
263	288	803
264	288	801
265	289	798
266	289	796
267	290	793
268	291	790
269	291	788
270	292	785
271	292	782
272	293	780
273	293	777
274	294	775
275	295	773
276	295	771
277	296	769
278	296	767
279	297	764
280	297	762
281	298	760
282	299	757
283	299	755
284	300	752
285	300	750
286	301	748
287	301	746
288	302	743
289	302	741
290	303	739
291	303	736
292	304	734
293	304	732
294	305	729
295	305	727
296	306	725
297	306	722
298	307	720
299	307	718
300	308	716
301	308	713
302	309	712
303	310	710
304	310	708
305	311	706
306	311	703
307	312	701
308	312	699
309	313	697
310	313	695
311	314	692
312	314	690
313	315	688
314	315	686
315	316	684
316	316	682
317	317	680
318	317	678
319	318	676
320	318	673
321	319	671
322	319	669
323	320	667
324	320	665
325	320	663
326	321	661
327	322	659
328	322	658
329	323	656
330	323	654
331	324	652
332	324	650
333	325	648
334	325	646
335	326	644
336	326	642
337	327	641
338	327	639
339	328	637
340	328	635
341	329	633
342	329	631
343	330	630
344	330	628
345	331	626
346	331	624
347	332	622
348	332	620
349	333	618
350	333	617
351	334	615
352	334	613
353	335	611
354	335	609
355	336	608
356	336	606
357	337	604
358	337	603
359	338	601
360	338	599
361	339	598
362	339	596
363	340	595
364	341	593
365	341	591
366	342	590
367	342	588
368	343	587
369	343	585
370	344	583
371	344	582
372	345	580
373	345	579
374	346	577
375	346	575
376	347	574
377	347	572
378	348	570
379	348	569
380	349	567
381	349	565
382	350	564
383	350	562
384	351	561
385	351	559
386	352	558
387	352	556
388	353	554
389	353	553
390	354	551
391	354	550
392	355	549
393	356	547
394	356	546
395	357	544
396	357	543
397	358	542
398	358	540
399	359	539
400	359	537
401	360	536
402	360	534
403	361	533
404	361	531
405	362	530
406	362	528
407	363	527
408	363	525
409	364	524
410	364	522
411	365	521
412	365	519
413	366	518
414	366	517
415	367	515
416	367	514
417	368	512
418	368	511
419	369	509
420	369	508
421	370	507
422	371	506
423	371	504
424	372	503
425	372	501
426	373	500
427	373	499
428	374	497
429	374	496
430	375	495
431	375	493
432	376	492
433	376	491
434	377	489
435	377	488
436	378	487
437	378	485
438	379	484
439	379	483
440	380	481
441	380	480
442	381	479
443	381	477
444	382	476
445	382	475
446	383	473
447	383	472
448	384	471
449	384	470
450	385	468
451	385	467
452	386	466
453	387	465
454	387	464
455	388	463
456	388	461
457	389	460
458	389	459
459	390	458
460	390	456
461	391	455
462	391	454
463	392	453
464	392	451
465	393	450
466	393	449
467	394	448
468	394	446
469	395	445
470	395	444
471	396	443
472	396	442
473	397	440
474	397	439
475	398	438
476	398	437
477	399	435
478	399	434
479	400	433
480	400	432
481	401	431
482	401	430
483	402	429
484	403	428
485	403	426
486	404	425
487	404	424
488	405	423
489	405	422
490	406	421
491	406	419
492	407	418
493	407	417
494	408	416
495	408	415
496	409	414
497	409	413
498	410	411
499	410	410
500	411	409
501	411	408
502	412	407
503	412	406
504	413	405
505	413	404
506	414	402
507	414	401
508	415	400
509	415	399
510	416	398
511	417	397
512	417	396
513	418	395
514	418	394
515	419	393
516	419	392
517	420	391
518	420	389
519	421	388
520	421	387
521	422	386
522	422	385
523	423	384
524	423	383
525	424	382
526	424	381
527	425	380
528	425	379
529	426	378
530	426	376
531	427	375
532	427	374
533	428	373
534	428	372
